"","minlatedeparted","scheddeplocal"
"706",10,"09/02/2019 5:40"
"707",30,"09/02/2019 13:15"
"708",0,"09/02/2019 8:20"
"709",-5,"09/02/2019 14:45"
"710",0,"09/02/2019 5:35"
"711",2,"09/02/2019 4:55"
"712",17,"09/02/2019 14:55"
"713",-14,"09/02/2019 21:35"
"714",34,"09/02/2019 12:30"
"715",46,"09/02/2019 11:00"
"716",-7,"09/02/2019 4:55"
"717",-5,"29/03/2019 6:30"
"718",43,"29/03/2019 9:15"
"719",2,"29/03/2019 6:00"
"720",-3,"29/03/2019 10:50"
"721",-12,"29/03/2019 13:00"
"722",30,"29/03/2019 9:35"
"723",-2,"29/03/2019 13:15"
"724",14,"29/03/2019 5:40"
"725",-2,"29/03/2019 8:20"
"726",8,"29/03/2019 14:45"
"727",-2,"29/03/2019 5:35"
"728",6,"29/03/2019 4:55"
"729",9,"29/03/2019 14:55"
"730",-4,"29/03/2019 12:30"
"731",-12,"29/03/2019 11:00"
"732",2,"29/03/2019 4:55"
"733",-4,"25/10/2018 6:20"
"734",-1,"25/10/2018 5:50"
"735",-2,"25/10/2018 11:05"
"736",7,"25/10/2018 13:00"
"737",-5,"25/10/2018 9:35"
"738",-2,"25/10/2018 5:40"
"739",8,"25/10/2018 9:00"
"740",48,"25/10/2018 13:15"
"741",1,"25/10/2018 15:15"
"742",46,"25/10/2018 18:10"
"743",-18,"25/10/2018 12:40"
"744",-13,"25/10/2018 10:15"
"745",-4,"04/03/2019 6:30"
"746",-10,"04/03/2019 9:15"
"747",2,"04/03/2019 6:00"
"748",41,"04/03/2019 10:50"
"749",7,"04/03/2019 13:00"
"750",-17,"04/03/2019 9:35"
"751",-9,"04/03/2019 5:40"
"752",3,"04/03/2019 13:15"
